blocks
-600,600,ground
-1570,-1085,wall
800,470,platform1
1243,350,platform2
1940,100,step
2600,-150,step
3285,830,ground
7000,420,ground
5705,420,cave
4530,700,platform1
10590,-1085,wall
3250,-380,floor1
1930,-420,step
-585,-600,floor1
-800,-1330,sign
1920,-870,step
2600,-1100,step
3300,-1350,floor2
4600,-555,floor3
1243,270,rock
-570,470,platform1
-600,470,rock2
thorns
440,485,thorn
5900,790,thorn3
6240,790,thorn3
6580,790,thorn3
turtles
10300,300
6600,-680
6600,-1470
-400,-730
gates
3905,680,gate1
3750,680,gate2
weak_enemies
5000,550,2
8900,260,1
7200,260,1
3300,-520,2
4400,-520,0
3300,-1500,3
6300,-1500,0
4500,-1500,1
-200,-750,0
1300,-750,2
strong_enemies
2400,400,1
8400,260,3
7900,260,2
4700,-750,3
5700,-750,1
3900,-1550,0
5300,-1550,2
100,-800,1
500,-800,2
1000,-800,3
gems
0,0,gem
6050,720,gem
6400,720,gem
6750,720,gem
-500,350,gem
-400,-900,gem
stars
0,0,star
550,0,star
750,150,star
350,150,star
2130,-20,star
2130,-550,star
2130,-1000,star
2800,-270,star
2800,-1230,star
5400,-950,star
5700,-950,star
6000,-950,star
6300,-950,star
